,,count,count,count,count,count,count,count,count,sum,sum,sum,sum,sum,sum,sum,sum,mean,mean,mean,mean,mean,mean,mean,mean
dia_semana,,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,TOTAL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,TOTAL,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,TOTAL
vendedor,region,,,,,,,,,,,,,,,,,,,,,,,,
Ana,Este,1,1,0,2,1,0,0,5,900,1000,0,2850,400,0,0,5150,900.0,1000.0,0.0,1425.0,400.0,0.0,0.0,1030.0
Ana,Norte,0,2,0,0,1,1,1,5,0,1000,0,0,50,1200,50,2300,0.0,500.0,0.0,0.0,50.0,1200.0,50.0,460.0
Ana,Oeste,0,0,0,2,1,1,1,5,0,0,0,6900,750,2500,900,11050,0.0,0.0,0.0,3450.0,750.0,2500.0,900.0,2210.0
Ana,Sur,0,0,3,3,1,1,0,8,0,0,5900,1100,1800,1800,0,10600,0.0,0.0,1966.6666666666667,366.6666666666667,1800.0,1800.0,0.0,1325.0
Carlos,Este,0,1,0,0,1,3,0,5,0,1350,0,0,900,5600,0,7850,0.0,1350.0,0.0,0.0,900.0,1866.6666666666667,0.0,1570.0
Carlos,Norte,2,0,0,1,1,0,1,5,5700,0,0,2700,450,0,300,9150,2850.0,0.0,0.0,2700.0,450.0,0.0,300.0,1830.0
Carlos,Oeste,2,1,1,1,1,1,0,7,950,200,900,1000,300,100,0,3450,475.0,200.0,900.0,1000.0,300.0,100.0,0.0,492.85714285714283
Carlos,Sur,1,0,0,0,0,0,0,1,900,0,0,0,0,0,0,900,900.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0
Luis,Este,0,0,3,0,0,1,1,5,0,0,3000,0,0,3500,2400,8900,0.0,0.0,1000.0,0.0,0.0,3500.0,2400.0,1780.0
Luis,Norte,0,0,0,0,0,1,0,1,0,0,0,0,0,1500,0,1500,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0
Luis,Oeste,0,2,1,0,2,2,1,8,0,1000,150,0,3050,2000,800,7000,0.0,500.0,150.0,0.0,1525.0,1000.0,800.0,875.0
Luis,Sur,1,2,1,0,0,0,0,4,4000,3250,3500,0,0,0,0,10750,4000.0,1625.0,3500.0,0.0,0.0,0.0,0.0,2687.5
María,Este,1,0,1,0,2,0,0,4,300,0,450,0,2100,0,0,2850,300.0,0.0,450.0,0.0,1050.0,0.0,0.0,712.5
María,Norte,0,1,0,0,1,0,1,3,0,3500,0,0,600,0,600,4700,0.0,3500.0,0.0,0.0,600.0,0.0,600.0,1566.6666666666667
María,Oeste,2,0,0,1,0,0,1,4,1150,0,0,900,0,0,1800,3850,575.0,0.0,0.0,900.0,0.0,0.0,1800.0,962.5
María,Sur,0,1,0,0,1,1,2,5,0,1050,0,0,7200,200,4850,13300,0.0,1050.0,0.0,0.0,7200.0,200.0,2425.0,2660.0
Sofía,Este,2,0,2,0,0,1,0,5,8800,0,900,0,0,50,0,9750,4400.0,0.0,450.0,0.0,0.0,50.0,0.0,1950.0
Sofía,Norte,0,1,1,1,1,1,1,6,0,600,5600,1000,2500,350,50,10100,0.0,600.0,5600.0,1000.0,2500.0,350.0,50.0,1683.3333333333333
Sofía,Oeste,2,2,0,1,0,0,1,6,1050,2700,0,900,0,0,50,4700,525.0,1350.0,0.0,900.0,0.0,0.0,50.0,783.3333333333334
Sofía,Sur,0,1,1,2,0,1,3,8,0,250,300,6000,0,450,9200,16200,0.0,250.0,300.0,3000.0,0.0,450.0,3066.6666666666665,2025.0
TOTAL,,14,15,14,14,14,15,14,100,23750,15900,20700,23350,20100,19250,21000,144050,1696.4285714285713,1060.0,1478.5714285714287,1667.857142857143,1435.7142857142858,1283.3333333333333,1500.0,1440.5
