name,age,height,weight,sex
Cody Martinez,56.0,1.85,119.6,F
Amanda Fuller DVM,69.0,1.58,87.6,M
Aaron Richardson,46.0,1.62,99.7,M
Shannon Tran,32.0,1.92,53.9,F
Joshua Freeman,60.0,1.6,94.2,F
Jessica Jones,25.0,1.54,103.5,M
Theresa Smith,38.0,1.85,104.5,M
Justin Tucker,56.0,1.7,103.9,M
Dylan Hernandez,36.0,1.96,65.8,F
Patrick Moss,40.0,1.83,118.3,F
Tiffany Pierce,28.0,1.55,119.7,M
Linda Jackson,28.0,1.97,55.3,F
Kayla Snyder,41.0,1.63,115.6,F
Jordan Roberts,53.0,1.67,70.3,M
Brittany Gonzalez,57.0,1.7,98.2,M
Raymond Robinson,41.0,1.53,73.7,M
John Gibbs,20.0,1.75,117.7,F
Alyssa Cross,39.0,1.56,57.1,F
Brendan Watkins,19.0,1.7,84.8,M
Randy Carter,41.0,1.68,80.0,F
Casey Hernandez,61.0,1.89,72.8,F
Amanda Gibbs,47.0,1.9,95.2,F
Amanda Lopez,55.0,1.58,59.2,F
Neil Shah,19.0,1.68,100.2,M
Jorge Patterson,38.0,1.69,118.6,F
Cathy Hanson,50.0,1.58,106.3,M
Nancy Norris,29.0,1.9,110.2,F
Kristen Perry,39.0,1.85,75.2,M
Steve Mclaughlin,61.0,1.6,72.7,F
Tiffany Lane,42.0,1.68,86.2,M
John Jones,66.0,1.55,53.2,M
Sarah Lyons,44.0,1.81,116.2,F
Zachary Warren,59.0,1.56,60.1,F
Mark Guerra,45.0,1.99,113.2,M
Paul Smith,33.0,1.89,55.9,F
Susan Soto,32.0,1.7,107.6,M
Gabriela Kelly,64.0,1.79,60.6,M
Dorothy Rios,68.0,1.96,52.7,M
Amy Preston,61.0,1.78,100.4,M
Michael Davis,69.0,1.59,69.6,F
Ana Cunningham,20.0,1.69,100.0,F
Matthew Rogers,54.0,1.92,88.9,F
Brent Villanueva,68.0,1.82,57.6,F
Wayne Barnes,24.0,1.83,115.2,F
Brian Martin,38.0,1.93,81.7,M
Kimberly Jones,26.0,1.95,101.4,F
